"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
"937.124.128","0","0","0","0","0","1","0","20180825","20180826"
"937.124.130","0","0","0","0","0","1","1","20180825","20180826"
"937.124.2","0","0","0","0","0","0","1","20180825","20180826"
"938.112.100","1","0","0","1","1","0","0","20180827","20180831"
"938.112.104","0","1","0","1","1","0","0","20180827","20180831"
"938.112.108","1","1","0","1","1","0","0","20180827","20180831"
"938.112.112","0","0","1","1","1","0","0","20180827","20180831"
"938.112.116","1","0","1","1","1","0","0","20180827","20180831"
"938.112.12","1","1","0","0","0","0","0","20180827","20180831"
"938.112.120","0","1","1","1","1","0","0","20180827","20180831"
"938.112.124","1","1","1","1","1","0","0","20180827","20180831"
"938.112.16","0","0","1","0","0","0","0","20180827","20180831"
"938.112.20","1","0","1","0","0","0","0","20180827","20180831"
"938.112.24","0","1","1","0","0","0","0","20180827","20180831"
"938.112.28","1","1","1","0","0","0","0","20180827","20180831"
"938.112.32","0","0","0","1","0","0","0","20180827","20180831"
"938.112.36","1","0","0","1","0","0","0","20180827","20180831"
"938.112.4","1","0","0","0","0","0","0","20180827","20180831"
"938.112.40","0","1","0","1","0","0","0","20180827","20180831"
"938.112.44","1","1","0","1","0","0","0","20180827","20180831"
"938.112.48","0","0","1","1","0","0","0","20180827","20180831"
"938.112.52","1","0","1","1","0","0","0","20180827","20180831"
"938.112.56","0","1","1","1","0","0","0","20180827","20180831"
"938.112.60","1","1","1","1","0","0","0","20180827","20180831"
"938.112.64","0","0","0","0","1","0","0","20180827","20180831"
"938.112.68","1","0","0","0","1","0","0","20180827","20180831"
"938.112.72","0","1","0","0","1","0","0","20180827","20180831"
"938.112.76","1","1","0","0","1","0","0","20180827","20180831"
"938.112.8","0","1","0","0","0","0","0","20180827","20180831"
"938.112.80","0","0","1","0","1","0","0","20180827","20180831"
"938.112.84","1","0","1","0","1","0","0","20180827","20180831"
"938.112.88","0","1","1","0","1","0","0","20180827","20180831"
"938.112.92","1","1","1","0","1","0","0","20180827","20180831"
"938.112.96","0","0","0","1","1","0","0","20180827","20180831"
"1397.117.128","0","0","0","0","0","1","0","20180901","20180902"
"1397.117.130","0","0","0","0","0","1","1","20180901","20180902"
"1397.117.2","0","0","0","0","0","0","1","20180901","20180902"
"1396.113.100","1","0","0","1","1","0","0","20180903","20180907"
"1396.113.104","0","1","0","1","1","0","0","20180903","20180907"
"1396.113.108","1","1","0","1","1","0","0","20180903","20180907"
"1396.113.112","0","0","1","1","1","0","0","20180903","20180907"
"1396.113.116","1","0","1","1","1","0","0","20180903","20180907"
"1396.113.12","1","1","0","0","0","0","0","20180903","20180907"
"1396.113.120","0","1","1","1","1","0","0","20180903","20180907"
"1396.113.124","1","1","1","1","1","0","0","20180903","20180907"
"1396.113.16","0","0","1","0","0","0","0","20180903","20180907"
"1396.113.20","1","0","1","0","0","0","0","20180903","20180907"
"1396.113.24","0","1","1","0","0","0","0","20180903","20180907"
"1396.113.28","1","1","1","0","0","0","0","20180903","20180907"
"1396.113.32","0","0","0","1","0","0","0","20180903","20180907"
"1396.113.36","1","0","0","1","0","0","0","20180903","20180907"
"1396.113.4","1","0","0","0","0","0","0","20180903","20180907"
"1396.113.40","0","1","0","1","0","0","0","20180903","20180907"
"1396.113.44","1","1","0","1","0","0","0","20180903","20180907"
"1396.113.48","0","0","1","1","0","0","0","20180903","20180907"
"1396.113.52","1","0","1","1","0","0","0","20180903","20180907"
"1396.113.56","0","1","1","1","0","0","0","20180903","20180907"
"1396.113.60","1","1","1","1","0","0","0","20180903","20180907"
"1396.113.64","0","0","0","0","1","0","0","20180903","20180907"
"1396.113.68","1","0","0","0","1","0","0","20180903","20180907"
"1396.113.72","0","1","0","0","1","0","0","20180903","20180907"
"1396.113.76","1","1","0","0","1","0","0","20180903","20180907"
"1396.113.8","0","1","0","0","0","0","0","20180903","20180907"
"1396.113.80","0","0","1","0","1","0","0","20180903","20180907"
"1396.113.84","1","0","1","0","1","0","0","20180903","20180907"
"1396.113.88","0","1","1","0","1","0","0","20180903","20180907"
"1396.113.92","1","1","1","0","1","0","0","20180903","20180907"
"1396.113.96","0","0","0","1","1","0","0","20180903","20180907"
"1567.100.104","0","1","0","1","1","0","0","20180908","20180923"
"1567.100.108","1","1","0","1","1","0","0","20180908","20180923"
"1567.100.112","0","0","1","1","1","0","0","20180908","20180923"
"1567.100.12","1","1","0","0","0","0","0","20180908","20180923"
"1567.100.120","0","1","1","1","1","0","0","20180908","20180923"
"1567.100.124","1","1","1","1","1","0","0","20180908","20180923"
"1567.100.128","0","0","0","0","0","1","0","20180908","20180923"
"1567.100.130","0","0","0","0","0","1","1","20180908","20180923"
"1567.100.16","0","0","1","0","0","0","0","20180908","20180923"
"1567.100.2","0","0","0","0","0","0","1","20180908","20180923"
"1567.100.32","0","0","0","1","0","0","0","20180908","20180923"
"1567.100.36","1","0","0","1","0","0","0","20180908","20180923"
"1567.100.4","1","0","0","0","0","0","0","20180908","20180923"
"1567.100.44","1","1","0","1","0","0","0","20180908","20180923"
"1567.100.48","0","0","1","1","0","0","0","20180908","20180923"
"1567.100.52","1","0","1","1","0","0","0","20180908","20180923"
"1567.100.56","0","1","1","1","0","0","0","20180908","20180923"
"1567.100.60","1","1","1","1","0","0","0","20180908","20180923"
"1567.100.64","0","0","0","0","1","0","0","20180908","20180923"
"1567.100.72","0","1","0","0","1","0","0","20180908","20180923"
"1567.100.8","0","1","0","0","0","0","0","20180908","20180923"
"1567.100.88","0","1","1","0","1","0","0","20180908","20180923"
